"source","target","value"
"Akaa","Asikkala",1
"Akaa","Espoo",2
"Akaa","Forssa",3
"Akaa","Hämeenlinna",1
"Akaa","Imatra",1
"Akaa","Jyväskylä",1
"Akaa","Lempäälä",3
"Akaa","Lohja",1
"Akaa","Nokia",1
"Akaa","Orivesi",2
"Akaa","Oulu",1
"Akaa","Pirkkala",2
"Akaa","Sonkajärvi",2
"Akaa","Tampere",14
"Akaa","Urjala",4
"Akaa","Valkeakoski",1
"Akaa","Vesilahti",1
"Akaa","Vihti",1
"Espoo","Akaa",4
"Hattula","Akaa",1
"Helsinki","Akaa",3
"Hämeenlinna","Akaa",3
"Kangasala","Akaa",1
"Kirkkonummi","Akaa",1
"Lempäälä","Akaa",5
"Nurmijärvi","Akaa",1
"Oulu","Akaa",1
"Pieksämäki","Akaa",1
"Pirkkala","Akaa",1
"Pori","Akaa",2
"Porvoo","Akaa",1
"Pyhäjoki","Akaa",1
"Seinäjoki","Akaa",1
"Tampere","Akaa",13
"Turku","Akaa",3
"Valkeakoski","Akaa",5
